ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,recent_buys,latest_buy_quarter,price_opportunity_score,price_category,_analysis_type,_generated,_periods,_window_quarters
CPNG,Coupang Inc.,15.97,8,"Bill Miller, Henry Ellenbogen, Bill & Melinda Gates Foundation Trust, Bill Nygren, Chase Coleman, +3 more",2607085000,2.0,150091141,6.89,12.0,Q4 2025,30.005,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MICC,Magnum Ice Cream Co NV,19.85,7,"First Eagle Investment Management, Mason Hawkins, Lee Ainslie, First Pacific Advisors, Nelson Peltz, +2 more",679903000,0.42,40710395,0.91,12.0,Q4 2025,26.42428571428572,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CNH,CNH Industrial NV,13.65,5,"Mason Hawkins, David Einhorn, Bill Nygren, First Pacific Advisors, Tweedy Browne",1056076000,4.45,94040669,17.11,4.0,Q4 2025,18.452,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NU,Nu Holdings Ltd,15.4,5,"Glenn Greenberg, Stephen Mandel, Lee Ainslie, Chase Coleman, Polen Capital Management",1263817000,1.77,94597120,4.29,7.0,Q4 2025,18.772,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AVTR,Avantor Inc.,14.65,5,"Mason Hawkins, First Pacific Advisors, Dodge & Cox Funds, Yacktman Asset Management, Greenhaven Associates",1607210000,1.5,162344502,2.82,11.0,Q4 2025,22.496,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
REZI,Resideo Technologies Inc.,19.39,5,"Bill Miller, David Einhorn, John Rogers, Tweedy Browne, Richard Pzena",301083000,0.82,9681086,1.9,9.0,Q4 2025,19.822,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
HLN,Haleon Plc ADR,9.91,5,"First Eagle Investment Management, Kahn Brothers Group, Bill Nygren, Dodge & Cox Funds, Tweedy Browne",1596578000,0.23,171122991,0.73,7.0,Q4 2025,17.23,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RKT,Rocket Companies Inc.,13.56,4,"ValueAct Capital, Henry Ellenbogen, Leon Cooperman, Christopher Davis",1317279000,5.95,83636760,11.65,11.0,Q4 2025,24.9525,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ORLA-OLD,Orla Mining Ltd,9.45,3,"First Eagle Investment Management, Prem Watsa, Sarah Ketterer",615546000,7.21,63219430,21.55,2.0,Q2 2026,15.213333333333336,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NCLH,Norwegian Cruise Line Hlgs Ltd.,15.57,3,"John Rogers, Seth Klarman, Samantha McLemore",616214000,3.5,29190589,4.23,8.0,Q4 2025,17.496666666666666,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
VTRS,Viatris Inc.,17.09,3,"Bill Miller, David Einhorn, Christopher Davis",1250476000,3.0,78738888,5.13,6.0,Q4 2025,15.003333333333334,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DCH,Dauch Corp.,6.56,3,"Alex Roepers, Bill Miller, David Einhorn",87163000,2.87,16081614,3.97,6.0,Q4 2025,14.87,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WEN,Wendy's Co.,8.24,3,"Bill Nygren, Prem Watsa, Nelson Peltz",365187000,2.85,44061198,5.97,6.0,Q4 2025,14.846666666666666,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
OLN,Olin Corp.,17.66,3,"Christopher Bloomstran, Yacktman Asset Management, Richard Pzena",203223000,2.03,10253433,4.83,7.0,Q4 2025,15.03,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LBTYA,Liberty Global Ltd CL A,10.68,3,"David Einhorn, Howard Marks, Dodge & Cox Funds",180551000,1.34,15959127,2.57,1.0,Q2 2026,8.34,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CORZ,Core Scientific Inc,16.81,3,"Daniel Loeb, Chase Coleman, Howard Marks",150078000,1.17,5864708,3.38,4.0,Q4 2025,11.166666666666668,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TME,Tencent Music Entertainment Grp,8.39,3,"Mason Hawkins, Li Lu, Polen Capital Management",77682000,0.84,9303228,1.49,3.0,Q4 2025,9.84,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BLCO,Bausch + Lomb Corp,18.0,3,"Daniel Loeb, Carl Icahn, Howard Marks",116352000,0.75,7026042,1.51,3.0,Q4 2025,9.746666666666666,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
KVUE,Kenvue Inc,19.13,3,"Lee Ainslie, Yacktman Asset Management, Tweedy Browne",158574000,0.68,8297944,1.9,5.0,Q2 2026,11.68,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CAG,Conagra Brands Inc.,16.18,3,"Lee Ainslie, Hillman Capital Management, Tweedy Browne",5608000,0.64,416606,1.76,4.0,Q4 2025,10.64,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ABEV,Ambev S.A.,2.99,3,"First Eagle Investment Management, Dodge & Cox Funds, Richard Pzena",1109411000,0.61,353315806,1.81,5.0,Q4 2025,11.613333333333332,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DEI,Douglas Emmett Inc.,11.33,3,"First Eagle Investment Management, First Pacific Advisors, Christopher Davis",271446000,0.53,23003907,1.3,5.0,Q4 2025,11.53,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DNOW,NOW Inc.,15.8,3,"Seth Klarman, Richard Pzena, Greenhaven Associates",130025000,0.48,10025099,0.67,6.0,Q4 2025,12.476666666666668,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BKD,Brookdale Senior Living Inc.,11.92,3,"First Eagle Investment Management, Third Avenue Management, Polen Capital Management",52232000,0.46,3246255,1.27,6.0,Q4 2025,12.463333333333331,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AUR,Aurora Innovation Inc.,5.85,3,"Daniel Loeb, Henry Ellenbogen, Polen Capital Management",81529000,0.29,11954398,0.72,2.0,Q2 2026,8.29,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ARCO,Arcos Dorados Holdings Inc.,8.21,3,"Dodge & Cox Funds, Sarah Ketterer, Richard Pzena",103804000,0.14,12878837,0.26,4.0,Q4 2025,10.143333333333334,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
OEC,Orion SA,6.17,3,"First Pacific Advisors, Tweedy Browne, Richard Pzena",35005000,0.06,5279877,0.09,5.0,Q4 2025,11.056666666666668,Affordable,stocks_under_$20,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
